,provincia,poblacion,CP,lat,lon
78,Madrid,El Escorial,28211,-4.126.986.220,40.584.962.200
79,Madrid,El Escorial,28212,-4.126.986.220,40.584.962.200
80,Madrid,El Escorial,28219,-4.126.986.220,40.584.962.200
81,Madrid,El Escorial,28280,-4.126.986.220,40.584.962.200
82,Madrid,El Escorial,28292,-4.126.986.220,40.584.962.200
83,Madrid,Estremera,28595,-3.105.883.340,40.184.816.390
84,Madrid,Fresnedillas de la Oliva,28214,-4.170.123.370,40.487.599.710
85,Madrid,Fresno de Torote,28815,-3.411.880.830,40.592.792.210
86,Madrid,Fuenlabrada,28941,-3.790.852.870,40.282.218.950
87,Madrid,Fuenlabrada,28942,-3.790.852.870,40.282.218.950
88,Madrid,Fuenlabrada,28943,-3.790.852.870,40.282.218.950
89,Madrid,Fuenlabrada,28944,-3.790.852.870,40.282.218.950
90,Madrid,Fuenlabrada,28945,-3.790.852.870,40.282.218.950
91,Madrid,Fuenlabrada,28946,-3.790.852.870,40.282.218.950
92,Madrid,Fuenlabrada,28947,-3.790.852.870,40.282.218.950
93,Madrid,Fuente el Saz de Jarama,28140,-3.514.176.930,40.632.841.840
94,Madrid,Fuentidue�a de Tajo,28597,-3.159.436.780,40.118.662.190
95,Madrid,Galapagar,28250,-4.003.986.000,40.578.376.090
96,Madrid,Galapagar,28260,-4.003.986.000,40.578.376.090
97,Madrid,Galapagar,28270,-4.003.986.000,40.578.376.090
98,Madrid,Galapagar,28292,-4.003.986.000,40.578.376.090
99,Madrid,Galapagar,28400,-4.003.986.000,40.578.376.090
100,Madrid,Galapagar,28420,-4.003.986.000,40.578.376.090
101,Madrid,Garganta de los Montes,28739,-3.687.258.080,40.921.737.210
102,Madrid,Garganta de los Montes,28743,-3.687.258.080,40.921.737.210
103,Madrid,Gargantilla del Lozoya y Pinilla de Buitrago,28739,-3.718.271.660,40.964.977.120
104,Madrid,Gascones,28737,-3.642.330.830,41.018.735.370
105,Madrid,Getafe,28901,-3.729.352.360,40.304.037.540
106,Madrid,Getafe,28902,-3.729.352.360,40.304.037.540
107,Madrid,Getafe,28903,-3.729.352.360,40.304.037.540
108,Madrid,Getafe,28904,-3.729.352.360,40.304.037.540
109,Madrid,Getafe,28905,-3.729.352.360,40.304.037.540
110,Madrid,Getafe,28906,-3.729.352.360,40.304.037.540
111,Madrid,Getafe,28907,-3.729.352.360,40.304.037.540
112,Madrid,Getafe,28909,-3.729.352.360,40.304.037.540
113,Madrid,Gri��n,28971,-3.849.595.760,40.214.143.260
114,Madrid,Guadalix de la Sierra,28794,-3.691.349.140,40.785.173.100
115,Madrid,Guadarrama,28430,-4.086.696.750,40.673.506.070
116,Madrid,Guadarrama,28440,-4.086.696.750,40.673.506.070
117,Madrid,Guadarrama,28480,-4.086.696.750,40.673.506.070
118,Madrid,La Hiruela,28191,-3.453.561.220,41.080.607.080
119,Madrid,Horcajo de la Sierra-Aoslos,28755,-3.585.714.930,41.065.545.840
120,Madrid,Horcajuelo de la Sierra,28191,-3.545.930.920,41.060.371.900
121,Madrid,Hoyo de Manzanares,28240,-3.906.762.360,40.622.367.540
122,Madrid,Hoyo de Manzanares,28248,-3.906.762.360,40.622.367.540
123,Madrid,Humanes de Madrid,28970,-3.828.447.380,40.250.252.550
124,Madrid,Leganes,28911,-3.766.555.570,40.331.743.820
125,Madrid,Leganes,28912,-3.766.555.570,40.331.743.820
126,Madrid,Leganes,28913,-3.766.555.570,40.331.743.820
127,Madrid,Leganes,28914,-3.766.555.570,40.331.743.820
128,Madrid,Leganes,28915,-3.766.555.570,40.331.743.820
129,Madrid,Leganes,28916,-3.766.555.570,40.331.743.820
130,Madrid,Leganes,28917,-3.766.555.570,40.331.743.820
131,Madrid,Leganes,28918,-3.766.555.570,40.331.743.820
132,Madrid,Leganes,28919,-3.766.555.570,40.331.743.820
133,Madrid,Loeches,28890,-3.410.141.670,40.384.598.940
134,Madrid,Lozoya,28742,-3.793.353.970,40.951.999.960
135,Madrid,Madarcos,28755,-3.582.674.750,41.047.409.760
136,Madrid,Madrid,28000,-3.687.600.880,40.408.411.910
137,Madrid,Madrid,28001,-3.687.600.880,40.408.411.910
138,Madrid,Madrid,28002,-3.687.600.880,40.408.411.910
139,Madrid,Madrid,28003,-3.687.600.880,40.408.411.910
140,Madrid,Madrid,28004,-3.687.600.880,40.408.411.910
141,Madrid,Madrid,28005,-3.687.600.880,40.408.411.910
142,Madrid,Madrid,28006,-3.687.600.880,40.408.411.910
143,Madrid,Madrid,28007,-3.687.600.880,40.408.411.910
144,Madrid,Madrid,28008,-3.687.600.880,40.408.411.910
145,Madrid,Madrid,28009,-3.687.600.880,40.408.411.910
146,Madrid,Madrid,28010,-3.687.600.880,40.408.411.910
147,Madrid,Madrid,28011,-3.687.600.880,40.408.411.910
148,Madrid,Madrid,28012,-3.687.600.880,40.408.411.910
149,Madrid,Madrid,28013,-3.687.600.880,40.408.411.910
150,Madrid,Madrid,28014,-3.687.600.880,40.408.411.910
151,Madrid,Madrid,28015,-3.687.600.880,40.408.411.910
