,name,rating,location,address,place
38,Asian Garden,4.1,"{'type': 'Point', 'coordinates': [-3.6786403, 40.4401857]}","Calle de Canillas, 28002 Madrid, Spain",asian
39,127 Taipei Bar Ramen & Baos,4.7,"{'type': 'Point', 'coordinates': [-3.695678, 40.411478]}","Calle de Fúcar, 14, 28014 Madrid, Spain",asian
40,El Bund Restaurante,4.3,"{'type': 'Point', 'coordinates': [-3.658474999999999, 40.4567021]}","Calle de Arturo Baldasano, 22, 28043 Madrid, Spain",asian
41,Rice,4.5,"{'type': 'Point', 'coordinates': [-3.6993036, 40.422836]}","Calle de Hortaleza, 47, 28004 Madrid, Spain",asian
42,Mandarín,4.1,"{'type': 'Point', 'coordinates': [-3.691447199999999, 40.4242222]}","Casino Gran Madrid, Paseo de Recoletos, 37, 41, 28004 Madrid, Spain",asian
43,Shanghai Station Chueca,4.3,"{'type': 'Point', 'coordinates': [-3.6994162, 40.4205711]}","Calle del Clavel, 7, 28004 Madrid, Spain",asian
44,Wok 4 You,4.0,"{'type': 'Point', 'coordinates': [-3.6988809, 40.4232071]}","Calle de Hortaleza, 72, 28004 Madrid, Spain",asian
45,restaurante asiatico fang,4.1,"{'type': 'Point', 'coordinates': [-3.6942975, 40.3932165]}","Calle de Embajadores, 186, 28045 Madrid, Spain",asian
46,Restaurante Chino Ni Hao Arturo Soria,4.3,"{'type': 'Point', 'coordinates': [-3.6659192, 40.4817062]}","C. de Arturo Soria, 335, 28033 Madrid, Spain",asian
47,Manolita Chen,4.4,"{'type': 'Point', 'coordinates': [-3.681509799999999, 40.4237995]}","Calle de Castelló, 18, 28001 Madrid, Spain",asian
48,Sumo,4.2,"{'type': 'Point', 'coordinates': [-3.675265, 40.435008]}","C/ de Francisco Silvela, 63, 28028 Madrid, Spain",asian
49,Restaurante Asia,4.0,"{'type': 'Point', 'coordinates': [-3.6926229, 40.3600769]}","Calle Tertulia, 15, 28041 Madrid, Spain",asian
50,Gran Hong Kong,4.2,"{'type': 'Point', 'coordinates': [-3.693104, 40.4566394]}","Calle de San Germán, 12, 28020 Madrid, Spain",asian
51,El Buda Feliz 1974,4.5,"{'type': 'Point', 'coordinates': [-3.705554499999999, 40.4212036]}","Calle de Tudescos, 5, 28004 Madrid, Spain",asian
52,Wok King,4.3,"{'type': 'Point', 'coordinates': [-3.707774999999999, 40.4196889]}","Calle de las Veneras, 9, 28013 Madrid, Spain",asian
53,Kamado Asian Food,4.1,"{'type': 'Point', 'coordinates': [-3.848124399999999, 40.3407232]}","C.C. X-Madrid (Local 37, Calle Oslo, 53, 28922 Alcorcón, Madrid, Spain",asian
54,Restaurante Fan Hua,4.1,"{'type': 'Point', 'coordinates': [-3.7109785, 40.4078991]}","Calle de Toledo, 115, 28005 Madrid, Spain",asian
55,Oriental Market,4.0,"{'type': 'Point', 'coordinates': [-3.7038706, 40.386148]}","Calle de Marcelo Usera, 58, 28026 Madrid, Spain",asian
56,Nan-Yea Alimentacion,4.5,"{'type': 'Point', 'coordinates': [-3.7071997, 40.4118588]}","Calle de los Estudios, 7, 28012 Madrid, Spain",asian
57,Cenas Madrid,0.0,"{'type': 'Point', 'coordinates': [-3.6908412, 40.4279719]}","Calle de Fernando el Santo, 24, Local 2, 28010 Madrid, Spain",asian
58,Restaurante The One,4.5,"{'type': 'Point', 'coordinates': [-3.6985002, 40.4505096]}","Calle del Aviador Zorita, 37, 28020 Madrid, Spain",asian
59,Restaurante Hoki Sushi,3.8,"{'type': 'Point', 'coordinates': [-3.6965382, 40.4011411]}","Calle del Ferrocarril, 22, 28045 Madrid, Spain",asian
