,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
81,Escape College Madrid / 8 Escape Room en pleno centro,4.4,"Calle de San Bernardo, 5, 28013 Madrid, Spain",2.0,escape room,28013,40.4210438,-3.7083478,"{'type': 'Point', 'coordinates': [-3.7083478, 40.4210438]}",1-15€
82,Madrid Room Escape,4.3,"Calle de Orense, 4, 28020 Madrid, Spain",2.0,escape room,28020,40.4475789,-3.69518,"{'type': 'Point', 'coordinates': [-3.69518, 40.4475789]}",1-15€
83,Fox in a Box Madrid Escape Room Madrid Chueca,4.7,"Calle de las Infantas, 25, 28004 Madrid, Spain",2.0,escape room,28004,40.42017999999999,-3.697661999999999,"{'type': 'Point', 'coordinates': [-3.697661999999999, 40.42017999999999]}",1-15€
84,EXIT / EXIT - Trapped in the Museum - Game Escape Madrid,4.7,"C/ de Jesús del Valle, 32, 28004 Madrid, Spain",2.0,escape room,28004,40.424855,-3.703564,"{'type': 'Point', 'coordinates': [-3.703564, 40.424855]}",1-15€
85,The Darkest Room - Escape Room Madrid,4.8,"Calle de Palencia, 31, 28020 Madrid, Spain",2.0,escape room,28020,40.4499108,-3.7010767,"{'type': 'Point', 'coordinates': [-3.7010767, 40.4499108]}",15-25€
86,MAD Escape Room,4.6,"C/ de Donoso Cortés, 36, 28015 Madrid, Spain",2.0,escape room,28015,40.436325,-3.7095519,"{'type': 'Point', 'coordinates': [-3.7095519, 40.436325]}",1-15€
87,Clue Hunter Madrid - Escape Room,4.7,"Calle juanelo 13, Local Izdo, 28012 Madrid, Spain",2.0,escape room,28012,40.4112,-3.705657,"{'type': 'Point', 'coordinates': [-3.705657, 40.4112]}",1-15€
88,The Rombo Code® | Escape Room Madrid,4.6,"Calle de Fernández de los Ríos, 70, 28015 Madrid, Spain",2.0,escape room,28015,40.4353781,-3.7126084,"{'type': 'Point', 'coordinates': [-3.7126084, 40.4353781]}",15-25€
89,59:59 Escape Room,4.5,"Calle de Fortunata y Jacinta, 5, 28020 Madrid, Spain",2.0,escape room,28020,40.4536953,-3.6987517,"{'type': 'Point', 'coordinates': [-3.6987517, 40.4536953]}",1-15€
90,Room Escape - Enigma Madrid Game,4.9,"Calle Ntra. Sra. del Carmen, 7, 28039 Madrid, Spain",2.0,escape room,28039,40.4584008,-3.7021883,"{'type': 'Point', 'coordinates': [-3.7021883, 40.4584008]}",1-15€
91,Parapark Primer Escape Room de Madrid,4.5,"Calle Manzana, 15, 28015 Madrid, Spain",2.0,escape room,28015,40.4239472,-3.708483,"{'type': 'Point', 'coordinates': [-3.708483, 40.4239472]}",1-15€
92,Escape Room Komnata Madrid Sol,4.5,"Calle de Núñez de Arce, 14, Local bajo, 28012 Madrid, Spain",2.0,escape room,28012,40.415234,-3.701373,"{'type': 'Point', 'coordinates': [-3.701373, 40.415234]}",1-15€
93,The Room Escape Madrid,5.0,"Calle de Ros de Olano, 9, 28002 Madrid, Spain",2.0,escape room,28002,40.4442409,-3.671949199999999,"{'type': 'Point', 'coordinates': [-3.671949199999999, 40.4442409]}",15-25€
94,Enigma Exprés - Escape Room (Sede Cuatro Caminos),4.6,"Plaza de la Condesa de Gavia, 3, 28020 Sede, Madrid, Spain",2.0,escape room,28020,40.4488164,-3.7017506,"{'type': 'Point', 'coordinates': [-3.7017506, 40.4488164]}",1-15€
95,NCERRADOS ESCAPE ROOM MADRID,4.7,"Calle Boltaña, 40, Nave 1, 28022 Madrid, Spain",2.0,escape room,28022,40.444961,-3.612221,"{'type': 'Point', 'coordinates': [-3.612221, 40.444961]}",1-15€
96,Madrid Terror Escape Room,4.9,"Paseo de la Esperanza, 53, 28005 Madrid, Spain",2.0,escape room,28005,40.3985456,-3.702484,"{'type': 'Point', 'coordinates': [-3.702484, 40.3985456]}",1-15€
97,MINA MADRID ESCAPE ROOM,4.9,"Calle de Sambara, 94, 28027 Madrid, Spain",2.0,escape room,28027,40.4361153,-3.6456902,"{'type': 'Point', 'coordinates': [-3.6456902, 40.4361153]}",1-15€
