,name,rating,address,price_level,place,CP,latitude,longitude,geometry,price
30,Discoteca El Son,3.9,"Calle de la Victoria, 6, 28012 Madrid, Spain",2.0,club,28012,40.4160653,-3.7017673,"{'type': 'Point', 'coordinates': [40.4160653, -3.7017673]}",25-50€
31,Kluster,4.2,"Calle de Covarrubias, 42, 28010 Madrid, Spain",2.0,club,28010,40.43166919999999,-3.6981612,"{'type': 'Point', 'coordinates': [40.43166919999999, -3.6981612]}",15-25€
32,Bling Bling Madrid,3.3,"Calle de Génova, 28, 28004 Madrid, Spain",3.0,club,28004,40.4250798,-3.691738,"{'type': 'Point', 'coordinates': [40.4250798, -3.691738]}",15-25€
33,Malaba Club,4.1,"Calle del Cardenal Cisneros, 32, 28010 Madrid, Spain",1.0,club,28010,40.4316159,-3.7020029,"{'type': 'Point', 'coordinates': [40.4316159, -3.7020029]}",15-25€
34,Club Argo,4.6,"Plaza de Sta. Ana, 7, 28012 Madrid, Spain",3.0,club,28012,40.4143732,-3.7004747,"{'type': 'Point', 'coordinates': [40.4143732, -3.7004747]}",15-25€
35,GUNILLA CLUB,3.4,"Paseo de Recoletos, 16, 28001 Madrid, Spain",3.0,club,28001,40.4226066,-3.6910073,"{'type': 'Point', 'coordinates': [40.4226066, -3.6910073]}",1-15€
36,Bearbie Madrid,4.1,"Plaza de Pedro Zerolo, 2, 28004 Madrid, Spain",1.0,club,28004,40.4211844,-3.699808899999999,"{'type': 'Point', 'coordinates': [40.4211844, -3.699808899999999]}",1-15€
37,Clubbers Tour,2.9,"Calle de la Cruz, 33, 28012 Madrid, Spain",2.0,club,28012,40.4157732,-3.7038293,"{'type': 'Point', 'coordinates': [40.4157732, -3.7038293]}",15-25€
38,CHA CHÁ The Club Madrid,3.7,"Calle de Alcalá, 20, 28014 Madrid, Spain",2.0,club,28014,40.4173993,-3.6983705,"{'type': 'Point', 'coordinates': [40.4173993, -3.6983705]}",15-25€
39,El 12 CLUB,4.4,"Calle de las Infantas, 12, 28004 Madrid, Spain",2.0,club,28004,40.4207863,-3.7001848,"{'type': 'Point', 'coordinates': [40.4207863, -3.7001848]}",More than 50€
40,The Club,4.0,"C. de Ventura Rodríguez, 7, 28008 Madrid, Spain",2.0,club,28008,40.42530259999999,-3.7136615,"{'type': 'Point', 'coordinates': [40.42530259999999, -3.7136615]}",15-25€
41,Moroder Sound Club,3.9,"Calle de San Hermenegildo, 7, 28015 Madrid, Spain",2.0,club,28015,40.4283131,-3.7074622,"{'type': 'Point', 'coordinates': [40.4283131, -3.7074622]}",More than 50€
42,Costa Social Club,3.7,"Calle de Miguel Ángel, 21, 28010 Madrid, Spain",2.0,club,28010,40.4361143,-3.6914375,"{'type': 'Point', 'coordinates': [40.4361143, -3.6914375]}",15-25€
43,Ohm Club,0.0,"Plaza del Callao, 4, 28013 Madrid, Spain",2.0,club,28013,40.420581,-3.705941999999999,"{'type': 'Point', 'coordinates': [40.420581, -3.705941999999999]}",15-25€
44,Medias Puri,3.9,"Plaza de Tirso de Molina, 1, 28012 Madrid, Spain",3.0,club,28012,40.41234910000001,-3.7034333,"{'type': 'Point', 'coordinates': [40.41234910000001, -3.7034333]}",15-25€
45,Delirium Dance Club,3.8,"Calle de Pelayo, 59, 28004 Madrid, Spain",2.0,club,28004,40.42497840000001,-3.696954899999999,"{'type': 'Point', 'coordinates': [40.42497840000001, -3.696954899999999]}",15-25€
46,New Garamond,3.5,"Calle de Rosario Pino, 14, 28020 Madrid, Spain",2.0,club,28020,40.462761,-3.692955,"{'type': 'Point', 'coordinates': [40.462761, -3.692955]}",More than 50€
47,Barceló Theatre,3.7,"C. de Barceló, 11, 28004 Madrid, Spain",3.0,club,28004,40.42692900000001,-3.699822,"{'type': 'Point', 'coordinates': [40.42692900000001, -3.699822]}",15-25€
48,Local Liberal Encuentros VIP Club Swinger Madrid,4.1,"Calle Vicente Caballero, 14, 28007 Madrid, Spain",2.0,club,28007,40.4192,-3.668492,"{'type': 'Point', 'coordinates': [40.4192, -3.668492]}",15-25€
49,Billion Club,2.7,"Av. de Concha Espina, 39, 28016 Madrid, Spain",2.0,club,28016,40.4519418,-3.6834947,"{'type': 'Point', 'coordinates': [40.4519418, -3.6834947]}",25-50€
50,Monocle Club,3.5,"Calle del Poeta Joan Maragall, 19, 28020 Madrid, Spain",2.0,club,28020,40.4570912,-3.6923873,"{'type': 'Point', 'coordinates': [40.4570912, -3.6923873]}",15-25€
51,My mother was a groupie,4.1,"Calle de Sta. Polonia, 5, 28014 Madrid, Spain",2.0,club,28014,40.4126802,-3.6974323,"{'type': 'Point', 'coordinates': [40.4126802, -3.6974323]}",15-25€
52,american club of madrid,0.0,"Calle de Serrano, 110, 28006 Madrid, Spain",2.0,club,28006,40.4353049,-3.6861546,"{'type': 'Point', 'coordinates': [40.4353049, -3.6861546]}",15-25€
53,Nuevo Club Madrid,4.5,"Calle de Cedaceros, 2, 28014 Madrid, Spain",2.0,club,28014,40.4177778,-3.6986111,"{'type': 'Point', 'coordinates': [40.4177778, -3.6986111]}",25-50€
54,Club 33,3.8,"Calle de la Cabeza, 33, 28012 Madrid, Spain",2.0,club,28012,40.4120003,-3.7010755,"{'type': 'Point', 'coordinates': [40.4120003, -3.7010755]}",1-15€
55,HERO COFFEE BAR OF SPECTACLE 80,4.0,"Calle Francisco de Rojas, 9, 28010 Madrid, Spain",2.0,club,28010,40.4297792,-3.699925599999999,"{'type': 'Point', 'coordinates': [40.4297792, -3.699925599999999]}",25-50€
56,Sala Republik Club,3.9,"Calle de la Puebla, 6, 28004 Madrid, Spain",2.0,club,28004,40.4220994,-3.7022597,"{'type': 'Point', 'coordinates': [40.4220994, -3.7022597]}",15-25€
57,Dreams Club Madrid,3.1,"Calle de la Aduana, 21, 28013 Madrid, Spain",2.0,club,28013,40.4184019,-3.7010582,"{'type': 'Point', 'coordinates': [40.4184019, -3.7010582]}",15-25€
58,Club Hermo55,4.8,"Calle de Hermosilla, 55, 28001 Madrid, Spain",2.0,club,28001,40.4263227,-3.6811889,"{'type': 'Point', 'coordinates': [40.4263227, -3.6811889]}",15-25€
59,Club Matador,4.7,"Calle de Jorge Juan, 5, 28001 Madrid, Spain",2.0,club,28001,40.424019,-3.687414,"{'type': 'Point', 'coordinates': [40.424019, -3.687414]}",15-25€
60,James Joyce Irish Pub Madrid,4.3,"Calle de Alcalá, 59, 28014 Madrid, Spain",2.0,pub,28014,40.419919,-3.691314,"{'type': 'Point', 'coordinates': [40.419919, -3.691314]}",15-25€
61,The Cavern Irish Pub,4.2,"Calle de Santiago, 1, 28013 Madrid, Spain",2.0,pub,28013,40.4160916,-3.7097757,"{'type': 'Point', 'coordinates': [40.4160916, -3.7097757]}",15-25€
62,Covent Garden English Pub,4.3,"Calle del Dr. Fleming, 31, 28036 Madrid, Spain",2.0,pub,28036,40.46095,-3.688023,"{'type': 'Point', 'coordinates': [40.46095, -3.688023]}",15-25€
63,La Fontana de Oro,4.1,"Calle de la Victoria, 1, 28012 Madrid, Spain",2.0,pub,28012,40.41640100000001,-3.701585,"{'type': 'Point', 'coordinates': [40.41640100000001, -3.701585]}",15-25€
64,Commo,3.7,"Calle de Espoz y Mina, 22, 28012 Madrid, Spain",2.0,pub,28012,40.41526229999999,-3.702391,"{'type': 'Point', 'coordinates': [40.41526229999999, -3.702391]}",15-25€
65,Collin's Irish Tavern,4.5,"28004, Calle de Sagasta, 26, 28004 Madrid, Spain",1.0,pub,28004,40.4279127,-3.6975692,"{'type': 'Point', 'coordinates': [40.4279127, -3.6975692]}",1-15€
66,Cervecería Erte,4.5,"Calle de las Veneras, 1, 28013 Madrid, Spain",1.0,pub,28013,40.41929409999999,-3.7075001,"{'type': 'Point', 'coordinates': [40.41929409999999, -3.7075001]}",1-15€
67,Pub Shark,4.4,"Calle del Corregidor Diego de Valderrábano, 1, 28030 Madrid, Spain",1.0,pub,28030,40.4084733,-3.6621067,"{'type': 'Point', 'coordinates': [40.4084733, -3.6621067]}",15-25€
68,Dubliners,3.6,"Calle de Espoz y Mina, 7, 28012 Madrid, Spain",2.0,pub,28012,40.41584020000001,-3.7022601,"{'type': 'Point', 'coordinates': [40.41584020000001, -3.7022601]}",15-25€
69,O'Connell St,3.7,"Calle de Espoz y Mina, 7, 28012 Madrid, Spain",2.0,pub,28012,40.4157575,-3.7022611,"{'type': 'Point', 'coordinates': [40.4157575, -3.7022611]}",15-25€
70,El Imperfecto,4.2,"Plaza de Matute, 2, 28012 Madrid, Spain",1.0,pub,28012,40.4136833,-3.6997222,"{'type': 'Point', 'coordinates': [40.4136833, -3.6997222]}",15-25€
71,The Irish Rover,4.3,"Av. de Brasil, 7, 28020 Madrid, Spain",2.0,pub,28020,40.4547278,-3.6939592,"{'type': 'Point', 'coordinates': [40.4547278, -3.6939592]}",15-25€
72,El Parnasillo del Príncipe,4.2,"C. del Príncipe, 33, 28012 Madrid, Spain",2.0,pub,28012,40.4141256,-3.6999834,"{'type': 'Point', 'coordinates': [40.4141256, -3.6999834]}",1-15€
73,Triskel tavern,4.3,"Corredera Alta de San Pablo, 20, 28004 Madrid, Spain",1.0,pub,28004,40.4254729,-3.7018412,"{'type': 'Point', 'coordinates': [40.4254729, -3.7018412]}",1-15€
74,Baton Rouge Cocktail Bar,4.5,"Calle de la Victoria, 8, 28012 Madrid, Spain",2.0,pub,28012,40.4158661,-3.7017675,"{'type': 'Point', 'coordinates': [40.4158661, -3.7017675]}",1-15€
75,Monnalisa Madrid,3.5,"Calle de Núñez de Arce, 8, 28012 Madrid, Spain",2.0,pub,28012,40.4154856,-3.7012945,"{'type': 'Point', 'coordinates': [40.4154856, -3.7012945]}",1-15€
76,Klimt,4.0,"Calle del Poeta Joan Maragall, 48, 28020 Madrid, Spain",3.0,pub,28020,40.4614421,-3.6915535,"{'type': 'Point', 'coordinates': [40.4614421, -3.6915535]}",15-25€
77,Enbabia Infused,4.6,"Calle de Núñez de Arce, 9, 28012 Madrid, Spain",2.0,pub,28012,40.4154748,-3.7012258,"{'type': 'Point', 'coordinates': [40.4154748, -3.7012258]}",1-15€
78,Paddy's Irish Pub,4.3,"Av. de Concha Espina, 69, 28016 Madrid, Spain",2.0,pub,28016,40.451949,-3.678038,"{'type': 'Point', 'coordinates': [40.451949, -3.678038]}",1-15€
79,Jazz Bar,4.5,"C. de Moratín, 35, 28014 Madrid, Spain",2.0,pub,28014,40.4125735,-3.6958959,"{'type': 'Point', 'coordinates': [40.4125735, -3.6958959]}",1-15€
