,name,rating,address,price_level,place,type,subtype,CP,latitude,longitude,geometry,price
31,Casino de la Reina Park,4.0,"Calle de Embajadores, 68, 28012 Madrid, Spain",0.0,park,plan,outdoors,28012,40.4061947,-3.7047148,"{'type': 'Point', 'coordinates': [40.4061947, -3.7047148]}",Free
32,Jardín de América,4.3,"Paseo de Recoletos, 2, 28001 Madrid, Spain",0.0,park,plan,outdoors,28001,40.420297,-3.691999,"{'type': 'Point', 'coordinates': [40.420297, -3.691999]}",Free
33,Fuente de los Galápagos,4.5,"28009 Madrid, Spain",0.0,park,plan,outdoors,28009,40.4186199,-3.6855362,"{'type': 'Point', 'coordinates': [40.4186199, -3.6855362]}",Free
34,Parque Emir Mohamed,4.2,"Parque Emir Mohamed, 28005 Madrid, Spain",0.0,park,plan,outdoors,28005,40.4147111,-3.7147903,"{'type': 'Point', 'coordinates': [40.4147111, -3.7147903]}",Free
35,Parque de Santander,4.4,"Av. de Pablo Iglesias, 9, 28003 Madrid, Spain",0.0,park,plan,outdoors,28003,40.4427069,-3.7068943,"{'type': 'Point', 'coordinates': [40.4427069, -3.7068943]}",Free
36,Zoo Aquarium de Madrid,4.3,"Casa de Campo, s/n, 28011 Madrid, Spain",0.0,park,plan,outdoors,28011,40.40912280000001,-3.760958599999999,"{'type': 'Point', 'coordinates': [40.40912280000001, -3.760958599999999]}",Free
37,Real Jardín Botánico,4.3,"Plaza de Murillo, 2, 28014 Madrid, Spain",0.0,park,plan,outdoors,28014,40.4111064,-3.6911267,"{'type': 'Point', 'coordinates': [40.4111064, -3.6911267]}",Free
38,San Isidro Park,4.8,"28019 Madrid, Spain",0.0,park,plan,outdoors,28019,40.3983279,-3.7254257,"{'type': 'Point', 'coordinates': [40.3983279, -3.7254257]}",Free
39,Parque Luigi Boccherini,3.9,"Cuesta de La Vega, 1B, 28013 Madrid, Spain",0.0,park,plan,outdoors,28013,40.4148018,-3.7156256,"{'type': 'Point', 'coordinates': [40.4148018, -3.7156256]}",Free
40,Aluche Park,4.3,"Calle de Tembleque, 45, 28024 Madrid, Spain",0.0,park,plan,outdoors,28024,40.3896463,-3.7595943,"{'type': 'Point', 'coordinates': [40.3896463, -3.7595943]}",Free
41,Community of Madrid Park,3.8,"Calle de Miraflores, 16, 28100 Alcobendas, Madrid, Spain",0.0,park,plan,outdoors,28100,40.5457037,-3.6378103,"{'type': 'Point', 'coordinates': [40.5457037, -3.6378103]}",Free
42,Cerro de las Canteras Lookout,4.5,"28011 Madrid, Spain",0.0,park,plan,outdoors,28011,40.4290116,-3.742914099999999,"{'type': 'Point', 'coordinates': [40.4290116, -3.742914099999999]}",Free
43,Jardines del Arquitecto Ribera,3.8,"C. de Barceló, 2, 28004 Madrid, Spain",0.0,park,plan,outdoors,28004,40.4265357,-3.7000426,"{'type': 'Point', 'coordinates': [40.4265357, -3.7000426]}",Free
44,Parque de Atracciones de Madrid,4.2,"Casa de Campo, s/n, 28011 Madrid, Spain",0.0,park,plan,outdoors,28011,40.4118609,-3.7500892,"{'type': 'Point', 'coordinates': [40.4118609, -3.7500892]}",Free
45,Las Vistillas Garden,4.3,"Jardín de las Vistillas, 28005 Madrid, Spain",0.0,park,plan,outdoors,28005,40.4125885,-3.7154567,"{'type': 'Point', 'coordinates': [40.4125885, -3.7154567]}",Free
46,Estanque Grande del Retiro,4.7,"Paseo de Colombia, 2, 28016 Madrid, Spain",0.0,park,plan,outdoors,28016,40.41718669999999,-3.6840057,"{'type': 'Point', 'coordinates': [40.41718669999999, -3.6840057]}",Free
47,Parque particular vistas de La Almudena,4.3,"Calle de Bailén, 28013 Madrid, Spain",0.0,park,plan,outdoors,28013,40.4167676,-3.7130916,"{'type': 'Point', 'coordinates': [40.4167676, -3.7130916]}",Free
48,The Madrid Park Gate,4.6,"Calle de Alfonso XII, 1, 28014 Madrid, Spain",0.0,park,plan,outdoors,28014,40.41668310000001,-3.6886536,"{'type': 'Point', 'coordinates': [40.41668310000001, -3.6886536]}",Free
49,María Eva Duarte de Perón Park,4.0,"28028 Madrid, Spain",0.0,park,plan,outdoors,28028,40.4298597,-3.668975,"{'type': 'Point', 'coordinates': [40.4298597, -3.668975]}",Free
50,Cibeles Fountain,4.6,"Plaza Cibeles, S/N, 28014 Madrid, Spain",0.0,park,plan,outdoors,28014,40.4193326,-3.6930825,"{'type': 'Point', 'coordinates': [40.4193326, -3.6930825]}",Free
51,Monument to Alfonso XII,4.7,"Parque del Retiro, Plaza de la Independencia, s/n, 28001 Madrid, Spain",0.0,park,plan,outdoors,28001,40.417318,-3.6830607,"{'type': 'Point', 'coordinates': [40.417318, -3.6830607]}",Free
52,Parking Estación Méndez Álvaro,3.6,"C. de Méndez Álvaro, 83, 28045 Madrid, Spain",0.0,park,plan,outdoors,28045,40.3945225,-3.67779,"{'type': 'Point', 'coordinates': [40.3945225, -3.67779]}",Free
53,Zoo Aquarium de Madrid,4.3,"Casa de Campo, s/n, 28011 Madrid, Spain",2.0,zoo,plan,outdoors,28011,40.40912280000001,-3.760958599999999,"{'type': 'Point', 'coordinates': [40.40912280000001, -3.760958599999999]}",15-25€
60,Faunia,4.1,"Av. Comunidades, 28, 28032 Madrid, Spain",2.0,zoo,plan,outdoors,28032,40.3920393,-3.6124408,"{'type': 'Point', 'coordinates': [40.3920393, -3.6124408]}",15-25€
73,Padel Urban Madrid,3.9,"Brains Nursery School, Calle de la Salvia, 44, 28109 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28109,40.5294794,-3.6312679,"{'type': 'Point', 'coordinates': [40.5294794, -3.6312679]}",More than 50€
74,Padel Madrid Las Tablas,4.3,"Av. del Camino de Santiago, 25, 28050 Madrid, Spain",,paddle tennis court,plan,outdoors,28050,40.5026389,-3.6739338,"{'type': 'Point', 'coordinates': [40.5026389, -3.6739338]}",More than 50€
75,Club de pádel La Moraleja,4.1,"Av. de Bruselas, 29, 28108 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5292916,-3.6399259,"{'type': 'Point', 'coordinates': [40.5292916, -3.6399259]}",More than 50€
76,Pádel Hangar,4.3,"Calle de la Metalurgia, 8, posterior, 28108 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5320144,-3.6489796,"{'type': 'Point', 'coordinates': [40.5320144, -3.6489796]}",More than 50€
77,Padel Norte,4.3,"Calle de los Aragoneses, 8, 28108 Alcobendas, Madrid, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5221828,-3.6629685,"{'type': 'Point', 'coordinates': [40.5221828, -3.6629685]}",More than 50€
78,PADEL SPACE,4.0,"28050 Madrid, Spain",,paddle tennis court,plan,outdoors,28050,40.4939002,-3.6747473,"{'type': 'Point', 'coordinates': [40.4939002, -3.6747473]}",More than 50€
79,Madrid Central Padel,4.5,"Calle de Boyer, 28, 28052 Madrid, Spain",,paddle tennis court,plan,outdoors,28052,40.4044614,-3.5869869,"{'type': 'Point', 'coordinates': [40.4044614, -3.5869869]}",More than 50€
80,Pista pádel,2.3,"28007 Madrid, Spain",,paddle tennis court,plan,outdoors,28007,40.40074010000001,-3.6785622,"{'type': 'Point', 'coordinates': [40.40074010000001, -3.6785622]}",More than 50€
81,Cristalia Club Padel,3.7,"VÍA DE LOS POBLADOS, 3, 28033 Madrid, Spain",,paddle tennis court,plan,outdoors,28033,40.4754788,-3.6321562,"{'type': 'Point', 'coordinates': [40.4754788, -3.6321562]}",More than 50€
82,Padel and Tennis Club Fuencarral,4.4,"Calle del Monasterio de Las Huelgas, 15, 28049 Madrid, Spain",,paddle tennis court,plan,outdoors,28049,40.5027626,-3.7101731,"{'type': 'Point', 'coordinates': [40.5027626, -3.7101731]}",More than 50€
83,Pistas de Padel Marqués de Monistrol - Río San Pol,3.3,"Calle de la Ribera del Manzanares, 1, Bis, 28008 Madrid, Spain",,paddle tennis court,plan,outdoors,28008,40.4219458,-3.7251906,"{'type': 'Point', 'coordinates': [40.4219458, -3.7251906]}",More than 50€
84,Match Ball Padel,0.0,"Av. de Camilo José Cela, 3, 28100 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28100,40.54674,-3.65577,"{'type': 'Point', 'coordinates': [40.54674, -3.65577]}",More than 50€
85,Bnfit Padel,4.4,"C. del Padre Damián, 26, 28036 Madrid, Spain",,paddle tennis court,plan,outdoors,28036,40.45666930000001,-3.6859552,"{'type': 'Point', 'coordinates': [40.45666930000001, -3.6859552]}",More than 50€
86,Padel Brains,5.0,"28109 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28109,40.5297546,-3.631315,"{'type': 'Point', 'coordinates': [40.5297546, -3.631315]}",More than 50€
87,Pistas de pádel (Fabricante),4.0,"28045 Madrid, Spain",,paddle tennis court,plan,outdoors,28045,40.4027019,-3.6951159,"{'type': 'Point', 'coordinates': [40.4027019, -3.6951159]}",More than 50€
88,Club y Escuela de Padel IberiaMart Madrid,4.2,"Calle de Orense, 34, 28020 Madrid, Spain",,paddle tennis court,plan,outdoors,28020,40.45451569999999,-3.6944674,"{'type': 'Point', 'coordinates': [40.45451569999999, -3.6944674]}",More than 50€
89,Pista De Pádel,5.0,"28042, Madrid, Spain",,paddle tennis court,plan,outdoors,28042,40.4573063,-3.6111914,"{'type': 'Point', 'coordinates': [40.4573063, -3.6111914]}",More than 50€
90,School Padel Center,4.2,"Av. de Burgos, 18-20, 28036 Madrid, Spain",,paddle tennis court,plan,outdoors,28036,40.4767896,-3.6752609,"{'type': 'Point', 'coordinates': [40.4767896, -3.6752609]}",More than 50€
91,Pádel Tres Olivos,3.9,"Calle Cueva De Montesinos, 0 S N Urbanización 3 Olivos, 28034 Madrid, Spain",,paddle tennis court,plan,outdoors,28034,40.4989886,-3.690843,"{'type': 'Point', 'coordinates': [40.4989886, -3.690843]}",More than 50€
92,Club Deportivo Madrid Norte Padel and Tennis,4.1,"Camino de la Alberca, 20, 28708 San Sebastián de los Reyes, Madrid, Spain",,paddle tennis court,plan,outdoors,28708,40.588761,-3.581559,"{'type': 'Point', 'coordinates': [40.588761, -3.581559]}",More than 50€
93,Padel Club Teypasport,4.2,"Av. de las Piceas, 13, 28043 Madrid, Spain",,paddle tennis court,plan,outdoors,28043,40.458726,-3.620362,"{'type': 'Point', 'coordinates': [40.458726, -3.620362]}",More than 50€
94,Ciudad De La Raqueta,4.2,"C. del Monasterio de El Paular, 2, 28049 Madrid, Spain",2.0,paddle tennis court,plan,outdoors,28049,40.4996145,-3.7133467,"{'type': 'Point', 'coordinates': [40.4996145, -3.7133467]}",15-25€
95,Pistas de pádel,0.0,"Av. de Rafaela Ybarra, 4A, 28026 Madrid, Spain",,paddle tennis court,plan,outdoors,28026,40.37444230000001,-3.715579,"{'type': 'Point', 'coordinates': [40.37444230000001, -3.715579]}",More than 50€
96,Pistas de Pádel Somontes,4.1,"Carr Madrid-El Pardo, KM 3, 400, 28048 Madrid, Spain",,paddle tennis court,plan,outdoors,28048,40.49238709999999,-3.758192,"{'type': 'Point', 'coordinates': [40.49238709999999, -3.758192]}",More than 50€
97,Padel Sport Home,4.5,"Travesía Villa Esther, 20, 28119 Algete, Madrid, Spain",,paddle tennis court,plan,outdoors,28119,40.5966301,-3.5237014,"{'type': 'Point', 'coordinates': [40.5966301, -3.5237014]}",More than 50€
98,Club de Tenis Chamartin,4.2,"Calle Federico Salmón, 4, 28016 Madrid, Spain",,paddle tennis court,plan,outdoors,28016,40.4608479,-3.6676444,"{'type': 'Point', 'coordinates': [40.4608479, -3.6676444]}",More than 50€
99,Arena Rio Padel,4.5,"Calle Zarco Hermanos, 9, 28019 Madrid, Spain",,paddle tennis court,plan,outdoors,28019,40.3925363,-3.7190357,"{'type': 'Point', 'coordinates': [40.3925363, -3.7190357]}",More than 50€
100,Centro Deportivo Alcalá 525,3.9,"Calle Alcalá 525, entrada por calle Iquitos, 28027 Madrid, Spain",,paddle tennis court,plan,outdoors,28027,40.4419429,-3.6287799,"{'type': 'Point', 'coordinates': [40.4419429, -3.6287799]}",More than 50€
101,Leisure and Sports Canal,3.7,"Av. de Filipinas, s/n, 28003 Madrid, Spain",,paddle tennis court,plan,outdoors,28003,40.4438587,-3.7064776,"{'type': 'Point', 'coordinates': [40.4438587, -3.7064776]}",More than 50€
102,RANKING PADEL,0.0,"Calle Radio Utopía, 16, 28703 San Sebastián de los Reyes, Madrid, Spain",,paddle tennis court,plan,outdoors,28703,40.5448608,-3.627031,"{'type': 'Point', 'coordinates': [40.5448608, -3.627031]}",More than 50€
103,Padel Vicalvaro,4.1,"Calle de Boyer, 20, 28052 Madrid, Spain",,paddle tennis court,plan,outdoors,28052,40.404232,-3.5871419,"{'type': 'Point', 'coordinates': [40.404232, -3.5871419]}",More than 50€
104,Pistas Tenis,4.6,"Calle de Carlos Sole, 11, 28038 Madrid, Spain",,paddle tennis court,plan,outdoors,28038,40.3920327,-3.648745,"{'type': 'Point', 'coordinates': [40.3920327, -3.648745]}",More than 50€
105,Golf Park,4.0,"Av. de Europa, 10, 28108 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5172843,-3.6603233,"{'type': 'Point', 'coordinates': [40.5172843, -3.6603233]}",More than 50€
106,Federación Madrileña de Pádel,4.2,"Parque Deportivo Puerta de Hierro, 1, 28035 Madrid, Spain",,paddle tennis court,plan,outdoors,28035,40.4607968,-3.7491381,"{'type': 'Point', 'coordinates': [40.4607968, -3.7491381]}",More than 50€
107,Ciudad Deportiva Jarama,4.4,"Avenida Talavera de la Reina, M-100, s/n, 28709 Algete, Madrid, Spain",,paddle tennis court,plan,outdoors,28709,40.5821531,-3.5783321,"{'type': 'Point', 'coordinates': [40.5821531, -3.5783321]}",More than 50€
108,School Padel El Valle,3.2,"Calle de Palas de Rey, 4, 28050 Madrid, Spain",,paddle tennis court,plan,outdoors,28050,40.5044479,-3.6606591,"{'type': 'Point', 'coordinates': [40.5044479, -3.6606591]}",More than 50€
109,MOMO by Making Padel,4.6,"Azotea Parque Comercial Las Rejas, Calle de Navaridas, 9, 28022 Madrid, Spain",,paddle tennis court,plan,outdoors,28022,40.4443775,-3.5812122,"{'type': 'Point', 'coordinates': [40.4443775, -3.5812122]}",More than 50€
110,Aparcamiento pista Padel El Hangar,5.0,"Carr. de Fuencarral, 44, 28108 Alcobendas, Madrid, Spain",,paddle tennis court,plan,outdoors,28108,40.5325671,-3.6492292,"{'type': 'Point', 'coordinates': [40.5325671, -3.6492292]}",More than 50€
111,Hitpadel Indoor Coslada,4.2,"Calle de Juan de la Cierva, 32, 28823 Coslada, Madrid, Spain",,paddle tennis court,plan,outdoors,28823,40.4367029,-3.5366222,"{'type': 'Point', 'coordinates': [40.4367029, -3.5366222]}",More than 50€
112,The Masó Sports Club,4.3,"C/ de La Masó, 34, 28035 Madrid, Spain",,paddle tennis court,plan,outdoors,28035,40.48935840000001,-3.7143535,"{'type': 'Point', 'coordinates': [40.48935840000001, -3.7143535]}",More than 50€
113,Moraleja Central Padel,3.4,"Calle Camino del Cura, 233, 28055 Madrid, Spain",,paddle tennis court,plan,outdoors,28055,40.5080167,-3.6377127,"{'type': 'Point', 'coordinates': [40.5080167, -3.6377127]}",More than 50€
114,Playtomic,3.0,"Paseo de la Castellana, 93, Planta 10, 28046 Madrid, Spain",,paddle tennis court,plan,outdoors,28046,40.4509505,-3.6916485,"{'type': 'Point', 'coordinates': [40.4509505, -3.6916485]}",More than 50€
115,Madrid Rackets - Squash - Padel - CrossFit,4.6,"Polígono Európolis, Calle del Cabo Rufino Lázaro, 3, 28232 Las Rozas de Madrid, Madrid, Spain",,paddle tennis court,plan,outdoors,28232,40.500307,-3.887573,"{'type': 'Point', 'coordinates': [40.500307, -3.887573]}",More than 50€
