,name,rating,location,address,place
38,All Cinema. all Dominican,3.0,"{'type': 'Point', 'coordinates': [-3.6882957, 40.4315396]}","Paseo de la Castellana, 30, 28046 Madrid, Spain",cinema
39,Mk2 Sunset Cinema,0.0,"{'type': 'Point', 'coordinates': [-3.695032, 40.4226998]}","Calle del Almte., 5, 28004 Madrid, Spain",cinema
40,CINESA Méndez Álvaro 3D,4.1,"{'type': 'Point', 'coordinates': [-3.6758854, 40.3969456]}","Calle Acanto, 2, 28045 Madrid, Spain",cinema
41,Cinesa,4.2,"{'type': 'Point', 'coordinates': [-3.7212829, 40.4228682]}","Estación Príncipe Pío, Paseo de la Florida, 2, 28008 Madrid, Spain",cinema
42,Yelmo Cines,4.1,"{'type': 'Point', 'coordinates': [-3.5866253, 40.4469616]}","Calle de Aracne, s / n, 28022 Madrid, Spain",cinema
43,CINESA 3D ROSAS,4.0,"{'type': 'Point', 'coordinates': [-3.620441599999999, 40.4186006]}","Av. de Guadalajara, 2, 28032 Madrid, Spain",cinema
44,Cinesa Proyecciones,4.2,"{'type': 'Point', 'coordinates': [-3.703207399999999, 40.4314921]}","Calle de Fuencarral, 136, 28001 Madrid, Spain",cinema
45,Film Artesiete Alcalá,4.1,"{'type': 'Point', 'coordinates': [-3.6377453, 40.4365995]}","Calle de Alcalá, 414, 2ª planta, Local 1-2, 28027 Madrid, Spain",cinema
46,Torco,4.0,"{'type': 'Point', 'coordinates': [-3.7123904, 40.4256119]}","C. de la Princesa, 10, 28008 Madrid, Spain",cinema
47,Academia De Cine -,3.5,"{'type': 'Point', 'coordinates': [-3.6938907, 40.4274712]}","Calle de Zurbano, 3, 28010 Madrid, Spain",cinema
48,Kinépolis Madrid Diversia,4.2,"{'type': 'Point', 'coordinates': [-3.639672399999999, 40.5300823]}","C.C. Heron Diversia, Av. de Bruselas, 21, 28108 Alcobendas, Madrid, Spain",cinema
49,CINESA LA GAVIA 3D,4.1,"{'type': 'Point', 'coordinates': [-3.598754, 40.3689056]}","Calle Adolfo Bioy Casares, 2, 28051 Madrid, Spain",cinema
50,Cine Inmersivo - Desafío Total,4.6,"{'type': 'Point', 'coordinates': [-3.7983148, 40.3943626]}","Kinepolis, Calle Edgar Neville, 28223 Madrid, Spain",cinema
51,Solar de Antonio Grilo - Cine de Verano,5.0,"{'type': 'Point', 'coordinates': [-3.7080259, 40.42352590000001]}","Barrio de Malasaña Solar de Antonio Grilo No. 8 - entre Mostenses y, Calle de San Bernardo, Madrid, Spain",cinema
52,Odeon Multicines Sambil,4.6,"{'type': 'Point', 'coordinates': [-3.776750399999999, 40.3600804]}","28917 Leganés, Madrid, Spain",cinema
53,El Ojo Cojo,2.1,"{'type': 'Point', 'coordinates': [-3.6990795, 40.4107961]}","Calle de los Tres Peces, 32, 28012 Madrid, Spain",cinema
54,Madrid Producciones method S.L.,5.0,"{'type': 'Point', 'coordinates': [-3.6950646, 40.3991503]}","Calle del Gral. Palanca, 38, 28045 Madrid, Spain",cinema
55,Huaorani Films,5.0,"{'type': 'Point', 'coordinates': [-3.7086485, 40.4233184]}","Plaza de los Mostenses, 13, 28015 Madrid, Spain",cinema
56,Cine 4D,3.4,"{'type': 'Point', 'coordinates': [-3.7512087, 40.4121962]}","Paseo de la Venta, 66, 28011 Madrid, Spain",cinema
57,Cinesa Parquesur & IMAX,4.5,"{'type': 'Point', 'coordinates': [-3.736052699999999, 40.3390157]}","Parquesur Shopping Center Avenida de Gran Bretaña 28916, Madrid, Spain",cinema
58,Cine Yelmo,4.2,"{'type': 'Point', 'coordinates': [-3.6157151, 40.5410924]}","Plaza del Comercio, 11-12, 28703 San Sebastián de los Reyes, Madrid, Spain",cinema
59,Cinesa,4.1,"{'type': 'Point', 'coordinates': [-3.7316762, 40.3388439]}","Av. de Gran Bretaña, s/n, 28916 Leganés, Madrid, Spain",cinema
