stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_8_12269,12269,FUENTE-CTRA.M313,Calle   Carretera de Arganda 16 A,40.2322158813477,-3.43505620956421,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12270,12270,CTRA.M313-NORTE,Calle   Carretera de Arganda 22,40.232666015625,-3.43503570556641,C1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12614,12614,AV.PABLO IGLESIAS-AZALEA,Calle   Azalea 53,40.3565139770508,-3.53597807884216,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12617,12617,AV.PABLO IGLESIAS-AMAPOLA,Calle   Azalea 55,40.3567047119141,-3.5358030796051,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_12707,12707,CTRA.MORATA-COLONIA LOS ALMENDROS,Ctra de Morata 100,40.2926445007324,-3.44366478919983,B3,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13253,13253,AV.PABLO IGLESIAS-JOVELLANOS,Avda de Pablo Iglesias 78,40.3496437072754,-3.52795171737671,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13256,13256,AV.PABLO IGLESIAS-JOVELLANOS,Avda de Pablo Iglesias 80,40.3484306335449,-3.52497506141663,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13257,13257,AV.PABLO IGLESIAS-ROSA MONTERO,Avda de Pablo Iglesias 80,40.3482398986816,-3.52517366409302,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13258,13258,AV.PABLO IGLESIAS-ANTONIO MUÑOZ MOLINA,Avda de Pablo Iglesias 87,40.3456344604492,-3.5218448638916,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13259,13259,AV.PABLO IGLESIAS-JUAN CARLOS ONETTI,Avda de Pablo Iglesias 87,40.3455238342285,-3.52206778526306,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13260,13260,AV.LEVANTE-CEMENTERIO,Avda de Levante 185,40.3393783569336,-3.51830005645752,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13261,13261,AV.LEVANTE-CEMENTERIO,Avda de Levante 185,40.3392333984375,-3.51847553253174,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13262,13262,AV.LEVANTE-CRISTINA IGLESIAS,Avda de Levante 230,40.3363151550293,-3.51655769348145,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13263,13263,AV.LEVANTE-MIQUEL BARCELÓ,Avda de Levante 230,40.3357849121094,-3.51656532287598,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13264,13264,AV.LEVANTE-FERNANDO DE LOS RÍOS,Avda de Levante 172,40.3326835632324,-3.51446986198425,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13265,13265,AV.LEVANTE-ITALIA,Avda de Levante 172,40.3326110839844,-3.51473999023438,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13270,13270,MIRALRÍO-CISNE,Calle   Miralrío 22,40.3266944885254,-3.51395344734192,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13271,13271,MIRALRÍO-SAN ISIDRO,Calle   Miralrío 13,40.3255271911621,-3.51729941368103,B2,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13272,13272,AV.PABLO IGLESIAS-ORÉGANO,Avda de Pablo Iglesias 78,40.3498420715332,-3.5279061794281,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13274,13274,AV.PABLO IGLESIAS-VID,Calle de la Vid SN,40.3518524169922,-3.53149008750916,B1,http://www.crtm.es,0,,Europe/Madrid,2
par_8_13275,13275,AV.PABLO IGLESIAS-SARAMAGO,Avda de Pablo Iglesias 60,40.3541450500488,-3.53413414955139,B1,http://www.crtm.es,0,,Europe/Madrid,2
