stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
par_5_45,45,MECO,,40.534629296321,-3.29857120296861,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_59,59,POZO EL,,40.3759107464157,-3.65613962795747,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_71,71,SAN FERNANDO,,40.4426754342948,-3.53375699676285,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_75,75,SANTA EUGENIA,,40.3869976228066,-3.60896739767877,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_81,81,TORREJON DE ARDOZ,,40.454614888402,-3.4797310604898,B2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_87,87,VALLECAS,,40.3822212818191,-3.62446330595629,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_90,90,VICALVARO,,40.4013272716292,-3.59583931493827,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_103,103,CASAR EL,,40.3184768004104,-3.70974754476271,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_122,122,SOL,,40.4168514100817,-3.70300095436799,A,https://www.crtm.es,0,est_90_58,,0
par_5_145,145,MIRASIERRA-PACO DE LUCIA,,40.4997,-3.7091,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_19,19,CIEMPOZUELOS,,40.1590780625469,-3.60993229369721,B3,https://www.crtm.es,0,,Europe/Madrid,0
par_5_29,29,ESCORIAL EL,,40.5852753133497,-4.13223833076811,C1,https://www.crtm.es,0,,Europe/Madrid,1
par_5_33,33,GALAPAGAR-LA NAVATA,,40.6001201927881,-3.98176360815813,B3,https://www.crtm.es,0,,Europe/Madrid,0
par_5_35,35,GETAFE INDUSTRIAL,,40.3054898291899,-3.7075993552501,B1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_44,44,MATAS LAS,,40.5525253841785,-3.89674113569312,B2,https://www.crtm.es,0,,Europe/Madrid,1
par_5_55,55,PINAR DE LAS ROZAS,,40.5223060941516,-3.8820657658894,B2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_56,56,PINTO,,40.2428012031304,-3.70364259838166,B2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_58,58,PITIS,,40.4951150425976,-3.72575435236588,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_64,64,RAMON Y CAJAL,,40.4882522939954,-3.69464819591265,A,https://www.crtm.es,0,,Europe/Madrid,0
par_5_67,67,ROBLEDO DE CHAVELA,,40.52078,-4.24671,C2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_69,69,SAN CRISTOBAL DE LOS ANGELES,,40.3423722900696,-3.68375397345775,A,https://www.crtm.es,0,,Europe/Madrid,2
par_5_70,70,SAN CRISTOBAL INDUSTRIAL,,40.3319230119497,-3.69862254904323,A,https://www.crtm.es,0,,Europe/Madrid,1
par_5_74,74,SAN YAGO,,40.6178702391272,-4.03101363862753,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_76,76,SANTA MARIA DE LA ALAMEDA,,40.56892,-4.26933,C2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_8,8,ARANJUEZ,,40.0348477748241,-3.61821249344168,C1,https://www.crtm.es,0,,Europe/Madrid,0
par_5_82,82,TORRELODONES,,40.574513990894,-3.95644911190209,B3,https://www.crtm.es,0,,Europe/Madrid,1
par_5_86,86,VALDEMORO,,40.1960570665724,-3.66471800184914,B3,https://www.crtm.es,0,,Europe/Madrid,2
par_5_91,91,VILLALBA,,40.6263702008332,-4.00800585940991,B3,https://www.crtm.es,0,,Europe/Madrid,1
par_5_93,93,VILLAVERDE BAJO,,40.3526507971254,-3.68389310873579,A,https://www.crtm.es,0,,Europe/Madrid,2
par_5_94,94,ZARZALEJO,,40.538728,-4.15817,C2,https://www.crtm.es,0,,Europe/Madrid,0
par_5_96,96,ZORRERAS LAS,,40.6094209154972,-4.04596665320877,C1,https://www.crtm.es,0,,Europe/Madrid,0
est_90_58,58,Puerta del Sol,Plaza de la Puerta del Sol 6,40.41688,-3.70331,A,https://www.crtm.es,1,,Europe/Madrid,0
par_5_15,15,CANTOBLANCO UNIVERSIDAD,,40.5437936933619,-3.70025235112853,B1,https://www.crtm.es,0,,Europe/Madrid,2
par_5_21,21,COLMENAR VIEJO,,40.6449747266778,-3.77564070812934,B3,https://www.crtm.es,0,,Europe/Madrid,2
par_5_31,31,FUENCARRAL,,40.5015691134975,-3.68225218377436,A,https://www.crtm.es,0,,Europe/Madrid,2
par_5_34,34,GETAFE CENTRO,,40.3101101574552,-3.73384370824394,B1,https://www.crtm.es,0,,Europe/Madrid,2
