provincia;poblacion;codigopostalid;lat;lon
Madrid;Ajalvir;28864;-3.480.710.160;40.535.068.130
Madrid;Alameda del Valle;28742;-3.843.661.950;40.916.583.150
Madrid;El Alamo;28607;-3.990.797.560;40.228.256.070
Madrid;El Alamo;28807;-3.990.797.560;40.228.256.070
Madrid;Alcala de Henares;28801;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28802;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28803;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28804;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28805;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28806;-3.369.251.020;40.480.332.320
Madrid;Alcala de Henares;28807;-3.369.251.020;40.480.332.320
Madrid;Alcobendas;28100;-3.632.401.850;40.541.041.880
Madrid;Alcobendas;28108;-3.632.401.850;40.541.041.880
Madrid;Alcobendas;28109;-3.632.401.850;40.541.041.880
Madrid;Alcorcon;28921;-3.828.494.940;40.351.569.770
Madrid;Alcorcon;28922;-3.828.494.940;40.351.569.770
Madrid;Alcorcon;28923;-3.828.494.940;40.351.569.770
Madrid;Alcorcon;28924;-3.828.494.940;40.351.569.770
Madrid;Alcorcon;28925;-3.828.494.940;40.351.569.770
Madrid;Aldea del Fresno;28620;-4.202.441.230;40.325.909.710
Madrid;Algete;28110;-3.497.715.030;40.595.959.620
Madrid;Algete;28120;-3.497.715.030;40.595.959.620
Madrid;Alpedrete;28409;-4.023.785.680;40.658.757.450
Madrid;Alpedrete;28430;-4.023.785.680;40.658.757.450
Madrid;Ambite;28580;-3.178.755.260;40.331.786.860
Madrid;Anchuelo;28818;-3.269.745.660;40.465.794.900
Madrid;Aranjuez;28300;-3.602.796.930;40.033.401.450
Madrid;Arganda del Rey;28500;-3.439.111.670;40.300.734.230
Madrid;Arroyomolinos;28939;-3.919.355.050;40.268.197.620
Madrid;El Atazar;28189;-3.470.463.610;40.934.498.400
Madrid;Batres;28939;-3.923.563.860;40.210.910.340
Madrid;Batres;28976;-3.923.563.860;40.210.910.340
Madrid;Becerril de la Sierra;28490;-3.986.297.570;40.717.296.610
Madrid;Belmonte de Tajo;28390;-3.339.461.720;40.134.026.600
Madrid;Berzosa del Lozoya;28194;-3.524.039.420;40.975.552.900
Madrid;El Berrueco;28192;-3.557.714.580;40.889.528.050
Madrid;Boadilla del Monte;28660;-3.875.805.970;40.407.834.570
Madrid;El Boalo;28412;-3.918.034.260;40.719.345.830
Madrid;El Boalo;28413;-3.918.034.260;40.719.345.830
Madrid;El Boalo;28492;-3.918.034.260;40.719.345.830
Madrid;Braojos;28737;-3.643.360.640;41.040.250.170
Madrid;Brea de Tajo;28596;-3.107.833.240;40.230.176.870
Madrid;Brunete;28690;-3.998.573.870;40.405.515.570
Madrid;Buitrago del Lozoya;28730;-3.636.451.350;40.993.572.000
Madrid;Bustarviejo;28720;-3.709.574.920;40.858.463.010
Madrid;Cabanillas de la Sierra;28721;-3.624.426.930;40.821.209.480
Madrid;La Cabrera;28751;-3.614.961.380;40.864.617.680
Madrid;Cadalso de los Vidrios;28640;-4.442.649.840;40.301.623.490
Madrid;Cadalso de los Vidrios;28648;-4.442.649.840;40.301.623.490
Madrid;Camarma de Esteruelas;28816;-3.379.069.370;40.550.057.730
Madrid;Campo Real;28510;-3.382.764.540;40.339.204.940
Madrid;Canencia;28743;-3.737.823.030;40.909.606.270
Madrid;Carabaña;28560;-3.237.085.980;40.256.878.980
Madrid;Casarrubuelos;28977;-3.833.565.030;40.171.771.640
Madrid;Cenicientos;28650;-4.466.606.100;40.264.043.470
Madrid;Cercedilla;28470;-4.056.222.970;40.742.784.430
Madrid;Cervera de Buitrago;28193;-3.530.471.100;40.922.194.470
Madrid;Ciempozuelos;28350;-3.616.501.450;40.158.534.790
Madrid;Cobeña;28863;-3.504.639.190;40.567.416.570
Madrid;Colmenar del Arroyo;28213;-4.202.061.470;40.419.246.340
Madrid;Colmenar de Oreja;28380;-3.388.411.320;40.107.620.150
Madrid;Colmenarejo;28270;-4.017.409.500;40.560.529.520
Madrid;Colmenarejo;28279;-4.017.409.500;40.560.529.520
Madrid;Colmenar Viejo;28120;-3.766.650.120;40.657.650.680
Madrid;Colmenar Viejo;28707;-3.766.650.120;40.657.650.680
Madrid;Colmenar Viejo;28750;-3.766.650.120;40.657.650.680
Madrid;Colmenar Viejo;28770;-3.766.650.120;40.657.650.680
Madrid;Collado Mediano;28450;-4.023.075.880;40.694.365.360
Madrid;Collado Villalba;28400;-3.992.725.350;40.643.029.370
Madrid;Corpa;28811;-3.262.543.580;40.424.504.370
Madrid;Coslada;28820;-3.567.493.620;40.426.549.120
Madrid;Coslada;28821;-3.567.493.620;40.426.549.120
Madrid;Coslada;28822;-3.567.493.620;40.426.549.120
Madrid;Coslada;28823;-3.567.493.620;40.426.549.120
Madrid;Cubas de la Sagra;28978;-3.837.965.340;40.191.524.460
Madrid;Chapineria;28694;-4.209.736.130;40.377.815.430
Madrid;Chinchon;28370;-3.422.306.230;40.141.269.160
Madrid;Daganzo de Arriba;28814;-3.458.427.720;40.545.338.570
Madrid;El Escorial;28211;-4.126.986.220;40.584.962.200
Madrid;El Escorial;28212;-4.126.986.220;40.584.962.200
Madrid;El Escorial;28219;-4.126.986.220;40.584.962.200
Madrid;El Escorial;28280;-4.126.986.220;40.584.962.200
Madrid;El Escorial;28292;-4.126.986.220;40.584.962.200
Madrid;Estremera;28595;-3.105.883.340;40.184.816.390
Madrid;Fresnedillas de la Oliva;28214;-4.170.123.370;40.487.599.710
Madrid;Fresno de Torote;28815;-3.411.880.830;40.592.792.210
Madrid;Fuenlabrada;28941;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28942;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28943;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28944;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28945;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28946;-3.790.852.870;40.282.218.950
Madrid;Fuenlabrada;28947;-3.790.852.870;40.282.218.950
Madrid;Fuente el Saz de Jarama;28140;-3.514.176.930;40.632.841.840
Madrid;Fuentidueña de Tajo;28597;-3.159.436.780;40.118.662.190
Madrid;Galapagar;28250;-4.003.986.000;40.578.376.090
Madrid;Galapagar;28260;-4.003.986.000;40.578.376.090
Madrid;Galapagar;28270;-4.003.986.000;40.578.376.090
Madrid;Galapagar;28292;-4.003.986.000;40.578.376.090
Madrid;Galapagar;28400;-4.003.986.000;40.578.376.090
Madrid;Galapagar;28420;-4.003.986.000;40.578.376.090
Madrid;Garganta de los Montes;28739;-3.687.258.080;40.921.737.210
Madrid;Garganta de los Montes;28743;-3.687.258.080;40.921.737.210
Madrid;Gargantilla del Lozoya y Pinilla de Buitrago;28739;-3.718.271.660;40.964.977.120
Madrid;Gascones;28737;-3.642.330.830;41.018.735.370
Madrid;Getafe;28901;-3.729.352.360;40.304.037.540
Madrid;Getafe;28902;-3.729.352.360;40.304.037.540
Madrid;Getafe;28903;-3.729.352.360;40.304.037.540
Madrid;Getafe;28904;-3.729.352.360;40.304.037.540
Madrid;Getafe;28905;-3.729.352.360;40.304.037.540
Madrid;Getafe;28906;-3.729.352.360;40.304.037.540
Madrid;Getafe;28907;-3.729.352.360;40.304.037.540
Madrid;Getafe;28909;-3.729.352.360;40.304.037.540
Madrid;Griñón;28971;-3.849.595.760;40.214.143.260
Madrid;Guadalix de la Sierra;28794;-3.691.349.140;40.785.173.100
Madrid;Guadarrama;28430;-4.086.696.750;40.673.506.070
Madrid;Guadarrama;28440;-4.086.696.750;40.673.506.070
Madrid;Guadarrama;28480;-4.086.696.750;40.673.506.070
Madrid;La Hiruela;28191;-3.453.561.220;41.080.607.080
Madrid;Horcajo de la Sierra-Aoslos;28755;-3.585.714.930;41.065.545.840
Madrid;Horcajuelo de la Sierra;28191;-3.545.930.920;41.060.371.900
Madrid;Hoyo de Manzanares;28240;-3.906.762.360;40.622.367.540
Madrid;Hoyo de Manzanares;28248;-3.906.762.360;40.622.367.540
Madrid;Humanes de Madrid;28970;-3.828.447.380;40.250.252.550
Madrid;Leganes;28911;-3.766.555.570;40.331.743.820
Madrid;Leganes;28912;-3.766.555.570;40.331.743.820
Madrid;Leganes;28913;-3.766.555.570;40.331.743.820
Madrid;Leganes;28914;-3.766.555.570;40.331.743.820
Madrid;Leganes;28915;-3.766.555.570;40.331.743.820
Madrid;Leganes;28916;-3.766.555.570;40.331.743.820
Madrid;Leganes;28917;-3.766.555.570;40.331.743.820
Madrid;Leganes;28918;-3.766.555.570;40.331.743.820
Madrid;Leganes;28919;-3.766.555.570;40.331.743.820
Madrid;Loeches;28890;-3.410.141.670;40.384.598.940
Madrid;Lozoya;28742;-3.793.353.970;40.951.999.960
Madrid;Madarcos;28755;-3.582.674.750;41.047.409.760
Madrid;Madrid;28000;-3.687.600.880;40.408.411.910
Madrid;Madrid;28001;-3.687.600.880;40.408.411.910
Madrid;Madrid;28002;-3.687.600.880;40.408.411.910
Madrid;Madrid;28003;-3.687.600.880;40.408.411.910
Madrid;Madrid;28004;-3.687.600.880;40.408.411.910
Madrid;Madrid;28005;-3.687.600.880;40.408.411.910
Madrid;Madrid;28006;-3.687.600.880;40.408.411.910
Madrid;Madrid;28007;-3.687.600.880;40.408.411.910
Madrid;Madrid;28008;-3.687.600.880;40.408.411.910
Madrid;Madrid;28009;-3.687.600.880;40.408.411.910
Madrid;Madrid;28010;-3.687.600.880;40.408.411.910
Madrid;Madrid;28011;-3.687.600.880;40.408.411.910
Madrid;Madrid;28012;-3.687.600.880;40.408.411.910
Madrid;Madrid;28013;-3.687.600.880;40.408.411.910
Madrid;Madrid;28014;-3.687.600.880;40.408.411.910
Madrid;Madrid;28015;-3.687.600.880;40.408.411.910
Madrid;Madrid;28016;-3.687.600.880;40.408.411.910
Madrid;Madrid;28017;-3.687.600.880;40.408.411.910
Madrid;Madrid;28018;-3.687.600.880;40.408.411.910
Madrid;Madrid;28019;-3.687.600.880;40.408.411.910
Madrid;Madrid;28020;-3.687.600.880;40.408.411.910
Madrid;Madrid;28021;-3.687.600.880;40.408.411.910
Madrid;Madrid;28022;-3.687.600.880;40.408.411.910
Madrid;Madrid;28023;-3.687.600.880;40.408.411.910
Madrid;Madrid;28024;-3.687.600.880;40.408.411.910
Madrid;Madrid;28025;-3.687.600.880;40.408.411.910
Madrid;Madrid;28026;-3.687.600.880;40.408.411.910
Madrid;Madrid;28027;-3.687.600.880;40.408.411.910
Madrid;Madrid;28028;-3.687.600.880;40.408.411.910
Madrid;Madrid;28029;-3.687.600.880;40.408.411.910
Madrid;Madrid;28030;-3.687.600.880;40.408.411.910
Madrid;Madrid;28031;-3.687.600.880;40.408.411.910
Madrid;Madrid;28032;-3.687.600.880;40.408.411.910
Madrid;Madrid;28033;-3.687.600.880;40.408.411.910
Madrid;Madrid;28034;-3.687.600.880;40.408.411.910
Madrid;Madrid;28035;-3.687.600.880;40.408.411.910
Madrid;Madrid;28036;-3.687.600.880;40.408.411.910
Madrid;Madrid;28037;-3.687.600.880;40.408.411.910
Madrid;Madrid;28038;-3.687.600.880;40.408.411.910
Madrid;Madrid;28039;-3.687.600.880;40.408.411.910
Madrid;Madrid;28040;-3.687.600.880;40.408.411.910
Madrid;Madrid;28041;-3.687.600.880;40.408.411.910
Madrid;Madrid;28042;-3.687.600.880;40.408.411.910
Madrid;Madrid;28043;-3.687.600.880;40.408.411.910
Madrid;Madrid;28044;-3.687.600.880;40.408.411.910
Madrid;Madrid;28045;-3.687.600.880;40.408.411.910
Madrid;Madrid;28046;-3.687.600.880;40.408.411.910
Madrid;Madrid;28047;-3.687.600.880;40.408.411.910
Madrid;Madrid;28048;-3.687.600.880;40.408.411.910
Madrid;Madrid;28049;-3.687.600.880;40.408.411.910
Madrid;Madrid;28050;-3.687.600.880;40.408.411.910
Madrid;Madrid;28051;-3.687.600.880;40.408.411.910
Madrid;Madrid;28052;-3.687.600.880;40.408.411.910
Madrid;Madrid;28053;-3.687.600.880;40.408.411.910
Madrid;Madrid;28054;-3.687.600.880;40.408.411.910
Madrid;Madrid;28055;-3.687.600.880;40.408.411.910
Madrid;Majadahonda;28220;-3.874.115.130;40.472.099.620
Madrid;Majadahonda;28221;-3.874.115.130;40.472.099.620
